Family_ID	Feature_Type	Size	Genome_Count	Genome_Percentage	Classification	Representative	Rep_Sequence_Length	Min_Length	Max_Length	Mean_Length	Sequence_Diversity	Length_Variance
FAM_P1	P	6	6	100.0%	core	P3OK	420	420	420	420.0	0.667	0.0
FAM_P2	P	6	6	100.0%	core	P3PG	459	459	459	459.0	0.667	0.0
FAM_P3	P	6	6	100.0%	core	P3R8	483	483	483	483.0	0.833	0.0
FAM_P4	P	6	6	100.0%	core	P3S4	891	891	891	891.0	0.667	0.0
FAM_P5	P	6	6	100.0%	core	P3VO	2049	2049	2049	2049.0	0.833	0.0
FAM_P6	P	3	3	50.0%	accessory	P3WK	1653	1653	1653	1653.0	0.667	0.0
FAM_P7	P	6	6	100.0%	core	P3Z8	2022	2022	2022	2022.0	0.667	0.0
FAM_P8	P	6	6	100.0%	core	P404	747	747	747	747.0	0.667	0.0
FAM_P9	P	6	6	100.0%	core	P410	1203	1203	1203	1203.0	0.667	0.0
FAM_P10	P	6	6	100.0%	core	P42S	1149	1149	1149	1149.0	0.667	0.0
FAM_P11	P	6	6	100.0%	core	P44K	459	459	459	459.0	0.667	0.0
FAM_P12	P	4	2	33.3%	accessory	P46C	528	528	528	528.0	0.500	0.0
FAM_P13	P	6	6	100.0%	core	P478	921	921	921	921.0	0.667	0.0
FAM_P14	P	6	4	66.7%	accessory	P484	297	297	297	297.0	0.667	0.0
FAM_P15	P	7	6	100.0%	core	P49W	1329	531	1329	1124.1	0.714	124589.1
FAM_P16	P	3	3	50.0%	accessory	P4DG	2850	2847	2850	2849.0	0.667	3.0
FAM_P17	P	5	3	50.0%	accessory	P4JO	333	333	333	333.0	0.400	0.0
FAM_P18	P	4	4	66.7%	accessory	P4PW	567	567	567	567.0	0.750	0.0
FAM_P19	P	6	6	100.0%	core	P4QS	1056	1056	1056	1056.0	0.833	0.0
FAM_P20	P	6	6	100.0%	core	P10N	984	984	984	984.0	0.833	0.0
FAM_P21	P	6	6	100.0%	core	P12S	174	174	174	174.0	0.667	0.0
FAM_P22	P	6	6	100.0%	core	P13Q	1500	1500	1500	1500.0	0.667	0.0
FAM_P23	P	6	6	100.0%	core	P14H	138	138	138	138.0	0.667	0.0
FAM_P24	P	5	5	83.3%	accessory	P15B	1593	1593	1593	1593.0	0.600	0.0
FAM_P25	P	6	6	100.0%	core	P164	747	747	747	747.0	0.667	0.0
FAM_P26	P	4	2	33.3%	accessory	P4ZO	189	189	189	189.0	0.500	0.0
FAM_P27	P	9	2	33.3%	accessory	P4HH	327	327	327	327.0	0.333	0.0
FAM_P28	P	6	6	100.0%	core	P17W	945	945	945	945.0	0.833	0.0
FAM_P29	P	6	6	100.0%	core	P18Q	636	636	636	636.0	0.667	0.0
FAM_P30	P	6	6	100.0%	core	P19M	1374	1374	1374	1374.0	0.667	0.0
FAM_P31	P	6	6	100.0%	core	P1AI	177	177	177	177.0	0.500	0.0
FAM_P32	P	6	6	100.0%	core	P1BF	1392	1392	1392	1392.0	0.667	0.0
FAM_P33	P	6	6	100.0%	core	P1CB	1344	1344	1344	1344.0	0.667	0.0
FAM_P34	P	6	6	100.0%	core	P1D3	819	819	819	819.0	0.667	0.0
FAM_P35	P	6	6	100.0%	core	P1DY	567	567	567	567.0	0.667	0.0
FAM_P36	P	2	2	33.3%	accessory	P5B8	114	114	114	114.0	0.500	0.0
FAM_P37	P	6	6	100.0%	core	P1GM	858	858	858	858.0	0.833	0.0
FAM_P38	P	6	6	100.0%	core	P1HI	816	816	816	816.0	0.833	0.0
FAM_P39	P	9	3	50.0%	accessory	P466	414	309	414	390.7	0.333	2143.8
FAM_P40	P	6	6	100.0%	core	P1MI	1191	1191	1527	1426.0	0.833	15198.0
FAM_P41	P	6	6	100.0%	core	P1N8	939	939	939	939.0	0.833	0.0
FAM_P42	P	6	6	100.0%	core	P1O5	738	738	738	738.0	0.667	0.0
FAM_P43	P	6	6	100.0%	core	P1P7	255	255	255	255.0	0.667	0.0
FAM_P44	P	6	6	100.0%	core	P1PY	963	963	963	963.0	0.667	0.0
FAM_P45	P	6	6	100.0%	core	P1QZ	2145	2145	2145	2145.0	0.667	0.0
FAM_P46	P	6	6	100.0%	core	P1RV	1086	1086	1086	1086.0	0.667	0.0
FAM_P47	P	7	6	100.0%	core	P1SV	1329	1329	1332	1329.4	0.857	1.3
FAM_P48	P	7	4	66.7%	accessory	P134	288	288	543	402.0	0.571	13425.0
FAM_P49	P	6	6	100.0%	core	P1VU	231	231	231	231.0	0.500	0.0
FAM_P50	P	6	6	100.0%	core	P1WQ	1578	1578	1578	1578.0	0.833	0.0
FAM_P51	P	6	6	100.0%	core	P1XI	1281	1281	1281	1281.0	0.667	0.0
FAM_P52	P	6	6	100.0%	core	P1YD	906	906	906	906.0	0.667	0.0
FAM_P53	P	6	6	100.0%	core	P21R	372	372	372	372.0	0.667	0.0
FAM_P54	P	3	3	50.0%	accessory	P61W	237	237	237	237.0	0.667	0.0
FAM_P55	P	6	6	100.0%	core	P23K	576	576	576	576.0	0.667	0.0
FAM_P56	P	6	6	100.0%	core	P24B	1365	1365	1365	1365.0	0.667	0.0
FAM_P57	P	6	6	100.0%	core	P257	531	531	531	531.0	0.500	0.0
FAM_P58	P	3	3	50.0%	accessory	P65G	735	735	735	735.0	0.333	0.0
FAM_P59	P	5	5	83.3%	accessory	P26G	1626	1626	1626	1626.0	0.800	0.0
FAM_P60	P	6	6	100.0%	core	P27D	1326	1326	1326	1326.0	0.667	0.0
FAM_P61	P	6	6	100.0%	core	P2BP	1491	1482	1491	1489.5	0.667	13.5
FAM_P62	P	6	6	100.0%	core	P2CL	897	897	897	897.0	0.667	0.0
FAM_P63	P	6	6	100.0%	core	P2E6	402	402	402	402.0	0.500	0.0
FAM_P64	P	6	6	100.0%	core	P2F2	726	726	726	726.0	0.667	0.0
FAM_P65	P	6	6	100.0%	core	P2G5	273	273	273	273.0	0.500	0.0
FAM_P66	P	6	6	100.0%	core	P2H1	759	759	759	759.0	0.667	0.0
FAM_P67	P	6	6	100.0%	core	P2HX	540	540	540	540.0	0.167	0.0
FAM_P68	P	6	6	100.0%	core	P2J7	1023	1023	1023	1023.0	0.667	0.0
FAM_P69	P	6	6	100.0%	core	P2KA	441	441	441	441.0	0.833	0.0
FAM_P70	P	6	6	100.0%	core	P2L4	831	825	831	830.0	0.667	6.0
FAM_P71	P	6	6	100.0%	core	P2OI	903	903	903	903.0	0.667	0.0
FAM_P72	P	6	6	100.0%	core	P2PA	1179	1179	1179	1179.0	0.667	0.0
FAM_P73	P	6	6	100.0%	core	P2QD	474	474	474	474.0	0.667	0.0
FAM_P74	P	6	6	100.0%	core	P2RC	597	597	597	597.0	0.833	0.0
FAM_P75	P	7	6	100.0%	core	P2SD	1494	408	1494	1277.6	0.857	172591.3
FAM_P76	P	7	6	100.0%	core	P2TE	666	225	666	571.7	0.714	30035.6
