Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences
FAM_P1,1_453,hypothetical protein,6,6
FAM_P2,1_485,hypothetical protein,6,6
FAM_P3,1_549,hypothetical protein,6,6
FAM_P4,1_581,hypothetical protein,6,6
FAM_P5,1_709,hypothetical protein,6,6
FAM_P6,1_741,hypothetical protein,3,3
FAM_P7,1_837,hypothetical protein,6,6
FAM_P8,1_869,hypothetical protein,6,6
FAM_P9,1_901,hypothetical protein,6,6
FAM_P10,1_965,hypothetical protein,6,6
FAM_P11,1_1029,hypothetical protein,6,6
FAM_P12,1_1093,hypothetical protein,2,4
FAM_P13,1_1125,hypothetical protein,6,6
FAM_P14,1_1157,hypothetical protein,4,6
FAM_P15,1_1221,hypothetical protein,6,7
FAM_P16,1_1349,hypothetical protein,3,3
FAM_P17,1_1573,hypothetical protein,3,5
FAM_P18,1_1797,hypothetical protein,4,4
FAM_P19,1_1829,hypothetical protein,6,6
FAM_P20,1_1319,hypothetical protein,6,6
FAM_P21,1_1396,hypothetical protein,6,6
FAM_P22,1_1430,hypothetical protein,6,6
FAM_P23,1_1457,hypothetical protein,6,6
FAM_P24,1_1487,hypothetical protein,5,5
FAM_P25,1_1516,hypothetical protein,6,6
FAM_P26,1_2149,hypothetical protein,2,4
FAM_P27,1_1494,hypothetical protein,2,9
FAM_P28,1_1580,hypothetical protein,6,6
FAM_P29,1_1610,hypothetical protein,6,6
FAM_P30,1_1642,hypothetical protein,6,6
FAM_P31,1_1674,hypothetical protein,6,6
FAM_P32,1_1707,hypothetical protein,6,6
FAM_P33,1_1739,hypothetical protein,6,6
FAM_P34,1_1767,hypothetical protein,6,6
FAM_P35,1_1798,hypothetical protein,6,6
FAM_P36,1_2565,hypothetical protein,2,2
FAM_P37,1_1894,hypothetical protein,6,6
FAM_P38,1_1926,hypothetical protein,6,6
FAM_P39,1_1087,hypothetical protein,3,9
FAM_P40,1_2106,hypothetical protein,6,6
FAM_P41,1_2132,hypothetical protein,6,6
FAM_P42,1_2165,hypothetical protein,6,6
FAM_P43,1_2203,hypothetical protein,6,6
FAM_P44,1_2230,hypothetical protein,6,6
FAM_P45,1_2267,hypothetical protein,6,6
FAM_P46,1_2299,hypothetical protein,6,6
FAM_P47,1_2335,hypothetical protein,6,7
FAM_P48,1_1408,hypothetical protein,4,7
FAM_P49,1_2442,hypothetical protein,6,6
FAM_P50,1_2474,hypothetical protein,6,6
FAM_P51,1_2502,hypothetical protein,6,6
FAM_P52,1_2533,hypothetical protein,6,6
FAM_P53,1_2655,hypothetical protein,6,6
FAM_P54,1_3525,hypothetical protein,3,3
FAM_P55,1_2720,hypothetical protein,6,6
FAM_P56,1_2747,hypothetical protein,6,6
FAM_P57,1_2779,hypothetical protein,6,6
FAM_P58,1_3653,hypothetical protein,3,3
FAM_P59,1_2824,hypothetical protein,5,5
FAM_P60,1_2857,hypothetical protein,6,6
FAM_P61,1_3013,hypothetical protein,6,6
FAM_P62,1_3045,hypothetical protein,6,6
FAM_P63,1_3102,hypothetical protein,6,6
FAM_P64,1_3134,hypothetical protein,6,6
FAM_P65,1_3173,hypothetical protein,6,6
FAM_P66,1_3205,hypothetical protein,6,6
FAM_P67,1_3237,hypothetical protein,6,6
FAM_P68,1_3283,hypothetical protein,6,6
FAM_P69,1_3322,hypothetical protein,6,6
FAM_P70,1_3352,hypothetical protein,6,6
FAM_P71,1_3474,hypothetical protein,6,6
FAM_P72,1_3502,hypothetical protein,6,6
FAM_P73,1_3541,hypothetical protein,6,6
FAM_P74,1_3576,hypothetical protein,6,6
FAM_P75,1_3613,hypothetical protein,6,7
FAM_P76,1_3650,hypothetical protein,6,7
FAM_P77,1_3680,hypothetical protein,6,6
FAM_P78,1_3712,hypothetical protein,6,6
FAM_P79,1_3774,hypothetical protein,6,6
FAM_P80,1_3805,hypothetical protein,6,6
FAM_P81,1_3860,hypothetical protein,6,6
FAM_P82,1_3890,hypothetical protein,6,6
FAM_P83,1_3961,hypothetical protein,6,6
FAM_P84,1_3994,hypothetical protein,6,6
FAM_P85,1_4025,hypothetical protein,6,6
FAM_P86,1_4057,hypothetical protein,6,6
FAM_P87,1_4091,hypothetical protein,6,6
FAM_P88,1_4154,hypothetical protein,6,6
FAM_P89,1_4242,hypothetical protein,3,3
FAM_P90,1_4272,hypothetical protein,6,6
FAM_P91,1_4304,hypothetical protein,6,6
FAM_P92,3_45,hypothetical protein,3,3
FAM_P93,1_3246,hypothetical protein,6,6
FAM_P94,1_473,hypothetical protein,2,2
FAM_P95,1_2895,hypothetical protein,6,6
SING_P878,1_921,hypothetical protein,1,1
SING_P8CK,1_1113,hypothetical protein,1,1
FAM_P96,1_277,hypothetical protein,6,8
SING_P8KK,1_1401,hypothetical protein,1,1
SING_P8LG,1_1433,hypothetical protein,1,1
FAM_P97,1_2155,hypothetical protein,6,6
SING_P8V8,1_1785,hypothetical protein,1,1
FAM_P98,1_1596,hypothetical protein,5,5
SING_P9K4,1_2681,hypothetical protein,1,1
SING_P9QC,1_2905,hypothetical protein,1,1
SING_P9VO,1_3097,hypothetical protein,1,1
SING_PA10,1_3289,hypothetical protein,1,1
SING_PAIS,1_3929,hypothetical protein,1,1
SING_PALG,1_4025,hypothetical protein,1,1
SING_PAN8,1_4089,hypothetical protein,1,1
SING_PAPW,1_4185,hypothetical protein,1,1
SING_PATG,1_4313,hypothetical protein,1,1
SING_PAUC,1_4345,hypothetical protein,1,1
FAM_P99,1_4473,hypothetical protein,2,2
SING_PAZO,1_4537,hypothetical protein,1,1
SING_PB1G,1_4601,hypothetical protein,1,1
SING_PB50,2_13,hypothetical protein,1,1
SING_PB6S,2_77,hypothetical protein,1,1
FAM_P100,1_1064,hypothetical protein,2,4
FAM_P101,1_1498,hypothetical protein,6,6
FAM_P102,1_1467,hypothetical protein,5,5
FAM_P103,1_1407,hypothetical protein,6,6
FAM_P104,1_1357,hypothetical protein,6,6
FAM_P105,1_1584,hypothetical protein,6,6
FAM_P106,1_1614,hypothetical protein,6,6
FAM_P107,1_1646,hypothetical protein,6,6
FAM_P108,1_1678,hypothetical protein,6,6
FAM_P109,1_1743,hypothetical protein,6,6
FAM_P110,1_1802,hypothetical protein,6,6
FAM_P111,1_1832,hypothetical protein,6,6
FAM_P112,1_1864,hypothetical protein,6,6
FAM_P113,1_1930,hypothetical protein,6,6
FAM_P114,1_1351,hypothetical protein,4,6
FAM_P115,1_2027,hypothetical protein,6,6
FAM_P116,1_2063,hypothetical protein,6,6
FAM_P117,1_791,hypothetical protein,4,8
FAM_P118,1_2108,hypothetical protein,6,6
FAM_P119,1_2140,hypothetical protein,6,6
FAM_P120,1_2173,hypothetical protein,6,6
