compact_id	family_id	genome_id	feature_type
C1	FAM_C1	E_coli_GCF_000005845_2	C
C10	SING_C10	E_coli_GCF_001612495_1	C
C11	SING_C11	E_coli_GCF_001612495_1	C
C12	SING_C12	E_coli_GCF_001612495_1	C
C13	SING_C13	E_coli_GCF_002214205_1	C
C14	SING_C14	E_coli_GCF_002214205_1	C
C15	SING_C15	E_coli_GCF_002214205_1	C
C16	SING_C16	E_coli_GCF_002214205_1	C
C17	SING_C17	E_coli_GCF_002214205_1	C
C18	SING_C18	E_coli_GCF_002214205_1	C
C19	SING_C19	E_coli_GCF_002214205_1	C
C1A	SING_C1A	E_coli_GCF_002214205_1	C
C1B	SING_C1B	E_coli_GCF_002214205_1	C
C1C	SING_C1C	E_coli_GCF_002214205_1	C
C1D	SING_C1D	E_coli_GCF_002214205_1	C
C1E	SING_C1E	E_coli_GCF_002214205_1	C
C1F	SING_C1F	E_coli_GCF_002214205_1	C
C1G	SING_C1G	E_coli_GCF_002214205_1	C
C1H	SING_C1H	E_coli_GCF_002214205_1	C
C1I	SING_C1I	E_coli_GCF_002214205_1	C
C1J	SING_C1J	E_coli_GCF_002214205_1	C
C1K	SING_C1K	E_coli_GCF_002214205_1	C
C1L	SING_C1L	E_coli_GCF_002214205_1	C
C1M	SING_C1M	E_coli_GCF_002214205_1	C
C1N	SING_C1N	E_coli_GCF_002214205_1	C
C1O	SING_C1O	E_coli_GCF_002214205_1	C
C1P	SING_C1P	E_coli_GCF_002214205_1	C
C1Q	SING_C1Q	E_coli_GCF_002214205_1	C
C1R	SING_C1R	E_coli_GCF_002214205_1	C
C1S	SING_C1S	E_coli_GCF_002214205_1	C
C1T	SING_C1T	E_coli_GCF_002214205_1	C
C1U	SING_C1U	E_coli_GCF_002214205_1	C
C1V	SING_C1V	E_coli_GCF_002214205_1	C
C1W	SING_C1W	E_coli_GCF_002214205_1	C
C1X	SING_C1X	E_coli_GCF_002214205_1	C
C1Y	SING_C1Y	E_coli_GCF_002214205_1	C
C1Z	SING_C1Z	E_coli_GCF_002214205_1	C
C2	SING_C2	E_coli_GCF_000005845_2	C
C20	SING_C20	E_coli_GCF_002214205_1	C
C21	SING_C21	E_coli_GCF_003399945_2	C
C22	SING_C22	E_coli_GCF_003399945_2	C
C23	SING_C23	E_coli_GCF_003399945_2	C
C24	SING_C24	E_coli_GCF_003399945_2	C
C25	SING_C25	E_coli_GCF_003399945_2	C
C26	SING_C26	E_coli_GCF_003399945_2	C
C27	SING_C27	E_coli_GCF_003399945_2	C
C28	SING_C28	E_coli_GCF_003399945_2	C
C29	SING_C29	E_coli_GCF_003399945_2	C
C2A	SING_C2A	E_coli_GCF_003399945_2	C
